seed_id,price,date
8,4.6784,2023-01-02
8,4.68,2023-01-03
8,4.6688,2023-01-04
8,4.6709,2023-01-05
8,4.697,2023-01-09
8,4.6981,2023-01-10
8,4.6871,2023-01-11
8,4.6888,2023-01-12
8,4.6915,2023-01-13
8,4.7004,2023-01-16
8,4.6946,2023-01-17
8,4.7091,2023-01-18
8,4.7053,2023-01-19
8,4.7137,2023-01-20
8,4.7186,2023-01-23
8,4.7073,2023-01-24
8,4.7079,2023-01-25
8,4.7239,2023-01-26
8,4.7076,2023-01-27
8,4.716,2023-01-30
8,4.7089,2023-01-31
8,4.708,2023-02-01
8,4.7079,2023-02-02
8,4.692,2023-02-03
8,4.7195,2023-02-06
8,4.7476,2023-02-07
8,4.7402,2023-02-08
8,4.7363,2023-02-09
8,4.7716,2023-02-10
8,4.7895,2023-02-13
8,4.7847,2023-02-14
8,4.7593,2023-02-15
8,4.7728,2023-02-16
8,4.7747,2023-02-17
8,4.7542,2023-02-20
8,4.7469,2023-02-21
8,4.7538,2023-02-22
8,4.7525,2023-02-23
8,4.7245,2023-02-24
8,4.7162,2023-02-27
8,4.717,2023-02-28
8,4.6925,2023-03-01
8,4.675,2023-03-02
8,4.7046,2023-03-03
8,4.7073,2023-03-06
8,4.6871,2023-03-07
8,4.7018,2023-03-08
8,4.6836,2023-03-09
8,4.6838,2023-03-10
8,4.6848,2023-03-13
8,4.6909,2023-03-14
8,4.7015,2023-03-15
8,4.6978,2023-03-16
8,4.7062,2023-03-17
8,4.7109,2023-03-20
8,4.6981,2023-03-21
8,4.6888,2023-03-22
8,4.6817,2023-03-23
8,4.6911,2023-03-24
8,4.6856,2023-03-27
8,4.6816,2023-03-28
8,4.685,2023-03-29
8,4.6801,2023-03-30
8,4.6755,2023-03-31
8,4.6805,2023-04-03
8,4.6785,2023-04-04
8,4.6803,2023-04-05
8,4.6902,2023-04-06
8,4.6862,2023-04-07
8,4.681,2023-04-11
8,4.666,2023-04-12
8,4.6511,2023-04-13
8,4.6494,2023-04-14
8,4.6341,2023-04-17
8,4.6286,2023-04-18
8,4.6278,2023-04-19
8,4.6109,2023-04-20
8,4.6039,2023-04-21
8,4.6129,2023-04-24
8,4.598,2023-04-25
8,4.5887,2023-04-26
8,4.5915,2023-04-27
8,4.5889,2023-04-28
8,4.5868,2023-05-04
8,4.5885,2023-05-05
8,4.5671,2023-05-08
8,4.5683,2023-05-09
8,4.5488,2023-05-10
8,4.5259,2023-05-11
8,4.5444,2023-05-12
8,4.5096,2023-05-15
8,4.4904,2023-05-16
8,4.4945,2023-05-17
8,4.5355,2023-05-18
8,4.5367,2023-05-19
8,4.5269,2023-05-22
8,4.4981,2023-05-23
8,4.4803,2023-05-24
8,4.503,2023-05-25
8,4.5294,2023-05-29
8,4.522,2023-05-30
8,4.5376,2023-05-31
8,4.5312,2023-06-01
8,4.5148,2023-06-02
8,4.4851,2023-06-05
8,4.4902,2023-06-06
8,4.479,2023-06-07
8,4.4366,2023-06-12
8,4.4783,2023-06-13
8,4.4715,2023-06-14
8,4.4633,2023-06-15
8,4.4583,2023-06-16
8,4.4457,2023-06-19
8,4.4386,2023-06-20
8,4.4408,2023-06-21
8,4.4335,2023-06-22
8,4.4367,2023-06-23
8,4.4297,2023-06-26
8,4.4286,2023-06-27
8,4.46,2023-06-28
8,4.4568,2023-06-29
8,4.4503,2023-06-30
8,4.4321,2023-07-03
8,4.4273,2023-07-04
8,4.4498,2023-07-05
8,4.4754,2023-07-06
8,4.4803,2023-07-07
8,4.4553,2023-07-10
8,4.4426,2023-07-11
8,4.4471,2023-07-12
8,4.4336,2023-07-13
8,4.4486,2023-07-14
8,4.452,2023-07-17
8,4.4331,2023-07-18
8,4.4492,2023-07-19
8,4.4511,2023-07-20
8,4.4501,2023-07-21
8,4.4517,2023-07-24
8,4.4348,2023-07-25
8,4.4248,2023-07-26
8,4.4224,2023-07-27
8,4.4257,2023-07-28
8,4.4135,2023-07-31
8,4.419,2023-08-01
8,4.4484,2023-08-02
8,4.4585,2023-08-03
8,4.4438,2023-08-04
8,4.4279,2023-08-07
8,4.4375,2023-08-08
8,4.4586,2023-08-09
8,4.465,2023-08-10
8,4.4547,2023-08-11
8,4.4621,2023-08-16
8,4.4681,2023-08-17
8,4.4869,2023-08-18
8,4.4768,2023-08-21
8,4.4648,2023-08-22
8,4.4834,2023-08-23
8,4.473,2023-08-24
8,4.4674,2023-08-25
8,4.4716,2023-08-28
8,4.469,2023-08-29
8,4.474,2023-08-30
8,4.4684,2023-08-31
8,4.4762,2023-09-01
8,4.4653,2023-09-04
8,4.4764,2023-09-05
8,4.4974,2023-09-06
8,4.594,2023-09-07
8,4.6019,2023-09-08
8,4.6209,2023-09-11
8,4.6836,2023-09-12
8,4.6402,2023-09-13
8,4.6285,2023-09-14
8,4.6307,2023-09-15
8,4.6377,2023-09-18
8,4.6458,2023-09-19
8,4.6529,2023-09-20
8,4.621,2023-09-21
8,4.6069,2023-09-22
8,4.5892,2023-09-25
8,4.6077,2023-09-26
8,4.6065,2023-09-27
8,4.634,2023-09-28
8,4.6356,2023-09-29
8,4.6091,2023-10-02
8,4.6147,2023-10-03
8,4.6303,2023-10-04
8,4.5974,2023-10-05
8,4.5998,2023-10-06
8,4.5793,2023-10-09
8,4.5581,2023-10-10
8,4.5183,2023-10-11
8,4.5329,2023-10-12
8,4.5417,2023-10-13
8,4.4804,2023-10-16
8,4.4389,2023-10-17
8,4.4488,2023-10-18
8,4.4529,2023-10-19
8,4.4675,2023-10-20
8,4.4552,2023-10-23
8,4.4604,2023-10-24
8,4.4758,2023-10-25
8,4.4708,2023-10-26
8,4.4642,2023-10-27
8,4.4491,2023-10-30
8,4.4475,2023-10-31
8,4.4582,2023-11-02
8,4.4569,2023-11-03
8,4.4615,2023-11-06
8,4.4513,2023-11-07
8,4.4584,2023-11-08
8,4.4413,2023-11-09
8,4.4227,2023-11-10
8,4.4336,2023-11-13
8,4.4163,2023-11-14
8,4.39,2023-11-15
8,4.3854,2023-11-16
8,4.3767,2023-11-17
8,4.368,2023-11-20
8,4.3647,2023-11-21
8,4.3804,2023-11-22
8,4.3722,2023-11-24
8,4.3543,2023-11-27
8,4.3542,2023-11-28
8,4.3327,2023-11-29
8,4.3492,2023-11-30
8,4.3494,2023-12-01
8,4.3337,2023-12-04
8,4.3233,2023-12-05
8,4.3382,2023-12-06
8,4.3334,2023-12-07
8,4.3303,2023-12-08
8,4.3366,2023-12-11
8,4.3396,2023-12-12
8,4.3309,2023-12-13
8,4.3053,2023-12-14
8,4.3103,2023-12-15
8,4.3269,2023-12-18
8,4.3321,2023-12-19
8,4.3341,2023-12-20
8,4.3387,2023-12-21
8,4.3288,2023-12-22
8,4.3392,2023-12-28
8,4.348,2023-12-29
8,4.3434,2024-01-02
8,4.3646,2024-01-03
8,4.3525,2024-01-04
8,4.3484,2024-01-05
8,4.3548,2024-01-08
8,4.3351,2024-01-09
8,4.3413,2024-01-10
8,4.3505,2024-01-11
8,4.3574,2024-01-12
8,4.3748,2024-01-15
8,4.3934,2024-01-16
8,4.3978,2024-01-17
8,4.4016,2024-01-18
8,4.3846,2024-01-19
8,4.356,2024-01-22
8,4.3697,2024-01-23
8,4.3755,2024-01-24
8,4.379,2024-01-25
8,4.3802,2024-01-26
8,4.3653,2024-01-29
8,4.3634,2024-01-30
8,4.3434,2024-01-31
8,4.3247,2024-02-01
8,4.3173,2024-02-02
8,4.3278,2024-02-05
8,4.3435,2024-02-06
8,4.3449,2024-02-08
8,4.3167,2024-02-09
8,4.328,2024-02-12
8,4.3214,2024-02-13
8,4.3435,2024-02-14
8,4.3463,2024-02-15
8,4.3414,2024-02-16
8,4.339,2024-02-19
8,4.3186,2024-02-20
8,4.3163,2024-02-21
8,4.3199,2024-02-22
8,4.3326,2024-02-23
8,4.3117,2024-02-26
8,4.3067,2024-02-27
8,4.3116,2024-02-28
8,4.319,2024-02-29
8,4.3201,2024-03-04
8,4.3228,2024-03-05
8,4.3106,2024-03-06
8,4.3045,2024-03-07
8,4.3079,2024-03-08
8,4.2933,2024-03-11
8,4.2804,2024-03-12
8,4.2896,2024-03-13
8,4.287,2024-03-14
8,4.3086,2024-03-18
8,4.3201,2024-03-19
8,4.3242,2024-03-20
8,4.3031,2024-03-21
8,4.3186,2024-03-22
8,4.3091,2024-03-25
8,4.3093,2024-03-26
8,4.3153,2024-03-27
8,4.3191,2024-03-28
8,4.3009,2024-03-29
8,4.2934,2024-04-02
8,4.2923,2024-04-03
8,4.2921,2024-04-04
8,4.2883,2024-04-05
8,4.2805,2024-04-07
8,4.2588,2024-04-09
8,4.2641,2024-04-10
8,4.2649,2024-04-11
8,4.2666,2024-04-12
8,4.2851,2024-04-15
8,4.3197,2024-04-16
8,4.3353,2024-04-17
8,4.3309,2024-04-18
8,4.3316,2024-04-19
8,4.3203,2024-04-22
8,4.3335,2024-04-23
8,4.3177,2024-04-24
8,4.3198,2024-04-25
8,4.3225,2024-04-26
8,4.319,2024-04-29
8,4.3213,2024-04-30
8,4.3294,2024-05-06
8,4.3116,2024-05-07
8,4.3195,2024-05-08
8,4.2993,2024-05-09
8,4.2979,2024-05-10
8,4.2977,2024-05-13
8,4.2812,2024-05-14
8,4.2635,2024-05-15
8,4.2617,2024-05-16
8,4.2685,2024-05-17
8,4.2575,2024-05-20
8,4.2572,2024-05-21
8,4.2575,2024-05-22
8,4.2699,2024-05-23
8,4.2624,2024-05-24
8,4.2528,2024-05-27
8,4.2592,2024-05-28
8,4.2529,2024-05-29
8,4.2817,2024-06-03
8,4.2923,2024-06-04
8,4.3081,2024-06-05
8,4.2997,2024-06-06
8,4.2891,2024-06-07
8,4.3197,2024-06-10
8,4.3456,2024-06-11
8,4.3354,2024-06-12
8,4.3355,2024-06-13
8,4.3581,2024-06-14
8,4.3608,2024-06-17
8,4.3468,2024-06-18
8,4.3376,2024-06-19
8,4.3238,2024-06-20
8,4.3331,2024-06-21
8,4.3198,2024-06-24
8,4.2909,2024-06-25
8,4.3087,2024-06-26
8,4.3085,2024-06-27
8,4.313,2024-06-28
8,4.2981,2024-07-01
8,4.3286,2024-07-02
8,4.3021,2024-07-03
8,4.2975,2024-07-04
8,4.2858,2024-07-05
8,4.278,2024-07-08
8,4.2633,2024-07-09
8,4.2529,2024-07-10
8,4.2586,2024-07-11
8,4.2567,2024-07-12
8,4.2499,2024-07-15
8,4.2604,2024-07-16
8,4.2904,2024-07-17
8,4.2954,2024-07-18
8,4.293,2024-07-19
8,4.2797,2024-07-22
8,4.281,2024-07-23
8,4.2796,2024-07-24
8,4.2971,2024-07-25
8,4.2773,2024-07-26
8,4.2847,2024-07-29
8,4.2845,2024-07-30
8,4.2953,2024-07-31
8,4.2924,2024-08-01
8,4.2903,2024-08-02
8,4.3073,2024-08-05
8,4.313,2024-08-06
8,4.3158,2024-08-07
8,4.3225,2024-08-08
8,4.3238,2024-08-09
8,4.3123,2024-08-12
8,4.2945,2024-08-13
8,4.2933,2024-08-14
8,4.2693,2024-08-19
8,4.2665,2024-08-20
8,4.2879,2024-08-21
8,4.285,2024-08-22
8,4.2769,2024-08-23
8,4.2803,2024-08-26
8,4.2802,2024-08-27
8,4.2938,2024-08-28
8,4.2862,2024-08-29
8,4.2798,2024-08-30
8,4.2812,2024-09-02
8,4.2757,2024-09-03
8,4.2815,2024-09-04
8,4.2717,2024-09-05
8,4.279,2024-09-06
8,4.2818,2024-09-09
8,4.2827,2024-09-10
8,4.2864,2024-09-11
8,4.2986,2024-09-12
